test_index,index,label,shape_id,text,top,left,right,bottom,width,height,slide_height,slide_width
7,1,Design element,318,,-0.01,312.54,720,33.84,407.46,33.85,405,720
7,2,Title,321,Main industry players (not exhaustive).,39.34,36,688.35,63.5,652.35,24.17,405,720
7,3,Semiconductor industry players,"[322\, 323\, 324\, 326\, 327\, 328\, 329\, 330\, 331\, 332\, 333\, 334\, 335\, 336\, 337\, 338\, 339\, 340\, 341\, 342\, 343\, 344\, 345\, 346\, 347\, 348\, 349\, 350\, 351\, 352\, 353\, 354\, 355\, 356\, 357\, 358\, 359\, 360\, 361]",nan,75.75,36,684,356.26,648,280.51,405,720
7,3.01,Core players,"[326\, 327\, 328\, 329\, 330\, 331\, 332\, 333\, 334\, 335\, 341\, 342\, 343\, 344\, 345\, 346\, 347\, 348\, 349\, 350\, 359\, 360\, 361]",nan,75.75,36,327.76,354.76,291.76,279.01,405,720
7,03.01.01,Header,326,Core players,75.75,36,263.24,99.99,227.24,24.24,405,720
7,03.01.02,Value chain,"[327\, 328\, 329\, 330\, 331]",nan,102.42,36.75,327.17,128.31,290.43,25.89,405,720
7,03.01.02.01,Design,327,Design,102.42,36.75,120.96,128.31,84.21,25.89,405,720
7,03.01.02.02,Manufacturing,328,Manufacturing,102.42,139.85,224.07,128.31,84.21,25.89,405,720
7,03.01.02.03,ATP,329,ATP1,102.42,242.96,327.17,128.31,84.21,25.89,405,720
7,03.01.02.04,Arrow,330,,115.37,120.96,139.86,115.37,18.9,0,405,720
7,03.01.02.05,Arrow,331,,115.37,224.07,242.97,115.37,18.9,0,405,720
7,03.01.03,Fabless design firms,"[332\, 343\, 344\, 345\, 346\, 347]",nan,138,36,122.32,276.76,86.31,138.76,405,720
7,03.01.03.01,Frame,332,Fabless design firms,138,36,122.32,276.76,86.31,138.76,405,720
7,03.01.03.02,AMD logo,345,,175.82,51.61,106.73,189,55.12,13.18,405,720
7,03.01.03.03,NVIDIA logo,343,,196.95,48.32,110.03,208.48,61.71,11.53,405,720
7,03.01.03.04,Qualcomm logo,344,,216.43,47.96,110.38,227.85,62.42,11.41,405,720
7,03.01.03.05,Broadcom logo,346,,235.8,43.5,114.84,245.55,71.34,9.75,405,720
7,03.01.03.06,Marvell logo,347,,253.5,51.05,107.3,269.57,56.25,16.07,405,720
7,03.01.04,Foundries,"[333\, 348\, 349\, 350]",nan,138,139,225.32,276.76,86.31,138.76,405,720
7,03.01.04.01,Frame,333,Foundries,138,139,225.32,276.76,86.31,138.76,405,720
7,03.01.04.02,TSMC logo,348,,179.63,158.06,205.69,217.08,47.62,37.46,405,720
7,03.01.04.03,UMC logo,349,,229.67,149.62,214.13,244.29,64.51,14.63,405,720
7,03.01.04.04,Global Foundries logo,350,,258.38,149.25,214.5,271.09,65.25,12.72,405,720
7,03.01.05,OSAT firms,"[334\, 359\, 360\, 361]",nan,138,241.43,327.75,276.76,86.31,138.76,405,720
7,03.01.05.01,Frame,334,OSAT2 firms,138,241.43,327.75,276.76,86.31,138.76,405,720
7,03.01.05.02,Amkor logo,361,,187.31,251.22,314.97,216.19,63.75,28.88,405,720
7,03.01.05.03,Teradyne logo,360,,229.5,252.34,316.84,244.5,64.5,15,405,720
7,03.01.05.04,Advantest logo,359,,251.62,248.22,320.97,270.38,72.75,18.75,405,720
7,03.01.06,Integrated device manufacturers (IDMs),"[335\, 341\, 342]",nan,288,36,327.76,354.76,291.76,66.76,405,720
7,03.01.06.01,Frame,335,Integrated device manufacturers (IDMs),288,36,327.76,354.76,291.76,66.76,405,720
7,03.01.06.02,"Logo of Texas Instruments\, Samsung\, Micron\, Intel\, Onsemi",341,,309,58.5,314.25,327,255.75,18,405,720
7,03.01.06.03,"Logo of Kioxia\, NXP\, Renesas\, Analog Devices\, Infineon",342,,328.5,61.5,308.25,350.25,246.75,21.75,405,720
7,3.02,Suppliers,"[322\, 323\, 324\, 336\, 337\, 338\, 339\, 351\, 352\, 353\, 354\, 355\, 356\, 357\, 358]",nan,75.75,359.25,684,356.26,324.75,280.51,405,720
7,03.02.01,Header,324,Suppliers,75.75,359.25,586.49,99.99,227.24,24.24,405,720
7,03.02.02,Supplier types (header),"[322\, 323]",nan,102.42,360.75,683.99,128.31,323.24,25.89,405,720
7,03.02.02.01,Header,323,Design,102.42,360.75,512.26,128.31,151.51,25.89,405,720
7,03.02.02.02,Header,322,Manufacturing,102.42,534.75,683.99,128.31,149.24,25.89,405,720
7,03.02.03,Core IP firmst,"[336\, 351]",nan,139.5,360.84,432.86,356.26,72.02,216.76,405,720
7,03.02.03.01,Frame,336,Core IP,139.5,360.84,432.86,356.26,72.02,216.76,405,720
7,03.02.03.02,Arm and imagination logo,351,,176.25,366.75,424.89,210.75,58.14,34.5,405,720
7,03.02.04,EDA firms,"[337\, 352]",nan,139.5,442.55,514.58,356.26,72.02,216.76,405,720
7,03.02.04.01,Frame,337,EDA3,139.5,442.55,514.58,356.26,72.02,216.76,405,720
7,03.02.04.02,Cadence and synopsys logo,352,,172.5,452.25,509.25,210.75,57,38.25,405,720
7,03.02.05,Raw materials firms,"[338\, 353\, 354]",nan,139.5,532.52,604.54,356.26,72.02,216.76,405,720
7,03.02.05.01,Frame,338,Raw materials,139.5,532.52,604.54,356.26,72.02,216.76,405,720
7,03.02.05.02,ShinEtsu and Siltronic logo,353,,177.37,543,594,233.25,51,55.88,405,720
7,03.02.05.03,GW and Sumco logo,354,,243.37,543.75,594.75,299.25,51,55.88,405,720
7,03.02.06,Equipment firms,"[339\, 355\, 356\, 357\, 358]",nan,139.5,611.98,684,356.26,72.02,216.76,405,720
7,03.02.06.01,Frame,339,Equipment,139.5,611.98,684,356.26,72.02,216.76,405,720
7,03.02.06.02,Applied Materials and HITACHI logo,355,,178.12,616.7,680.8,230.62,64.09,52.5,405,720
7,03.02.06.03,"ASML\, ASM\, Zeiss logo",357,,227.76,616.7,679.3,275.49,62.6,47.73,405,720
