test_index,index,label,shape_id,start_char,end_char,text,top,left,right,bottom,width,height,slide_height,slide_width
27,1,Design element,"[""15""]",,,,0.09,0.09,0.19,0.19,0.09,0.09,405,720
27,2,title,"[""2""]",,,Overall Project Timeline,35.04,24.54,695.46,80.14,670.91,45.09,405,720
27,3,Table - timeline,"[""3""]",,,,71.16,46.45,612.34,324.97,565.89,253.81,405,720
27,4,milestones,"[""13""\, ""7""\, ""10""\, ""11""\, ""12""\, ""14""\, ""19""\, ""20""\, ""21""\, ""22""\, ""23""\, ""24""]",,,"Board Meeting Prep\
\
\
Final Delivery\
\
\
Today\
\
\
Launch survey",88.17,287.52,637.14,391.07,349.62,302.9,405,720
27,4.01,Launch survey,"[""22""\, ""23""\, ""24""]",,,Launch survey,88.17,372.35,439.59,383.8,67.25,295.63,405,720
27,04.01.01,Dotted line,"[""23""]",,,,88.17,404.77,404.77,362.25,0,274.08,405,720
27,04.01.02,Triangle,"[""24""]",,,,361.8,400.11,409.79,367.92,9.68,6.11,405,720
27,04.01.03,Textbox,"[""22""]",,,Launch survey,369.26,372.35,439.59,383.8,67.25,14.54,405,720
27,4.02,Board meeting prep,"[""13""\, ""7""\, ""10""]",,,Board Meeting Prep,88.17,430.77,498.01,391.07,67.25,302.9,405,720
27,04.02.01,Dotted line,"[""7""]",,,,88.17,463.19,463.19,362.25,0,274.08,405,720
27,04.02.02,Triangle,"[""10""]",,,,361.8,458.53,468.21,367.92,9.68,6.11,405,720
27,04.02.03,Textbox,"[""13""]",,,Board Meeting Prep,369.26,430.77,498.01,391.07,67.25,21.81,405,720
27,4.03,Final delivery,"[""11""\, ""12""\, ""14""]",,,Final Delivery,88.32,569.9,637.14,383.95,67.25,295.63,405,720
27,04.03.01,Dotted line,"[""12""]",,,,88.32,602.32,602.32,362.39,0,274.08,405,720
27,04.03.02,Triangle,"[""14""]",,,,361.95,597.66,607.34,368.06,9.68,6.11,405,720
27,04.03.03,Textbox,"[""11""]",,,Final Delivery,369.41,569.9,637.14,383.95,67.25,14.54,405,720
27,4.04,today,"[""19""\, ""20""]",,,,88.57,316.31,325.99,368.05,9.68,279.48,405,720
27,04.04.01,Dotted line,"[""19""]",,,,88.57,321.24,321.24,362.65,0,274.08,405,720
27,04.04.02,Triangle,"[""20""]",,,,361.94,316.31,325.99,368.05,9.68,6.11,405,720
27,4.05,Textbox,"[""21""]",,,Today,369.53,287.52,354.77,384.08,67.25,14.54,405,720
