test_index,index,label,shape_id,start_char,end_char,text,top,left,right,bottom,width,height,slide_height,slide_width
30,1,Design element,"[""318""]",,,,-0.01,312.54,720,33.84,407.46,33.85,405,720
30,2,Title,"[""321""]",,,,39.34,36,688.35,63.5,652.35,24.17,405,720
30,3,Core players,"[""326""\, ""327""\, ""328""\, ""329""\, ""330""\, ""331""\, ""332""\, ""333""\, ""334""\, ""335""\, ""341""\, ""342""\, ""343""\, ""344""\, ""345""\, ""346""\, ""347""\, ""348""\, ""349""\, ""350""\, ""359""\, ""360""\, ""361""]",,,,75.75,36,327.76,354.76,291.76,279.01,405,720
30,3.01,Header,"[""326""]",,,,75.75,36,263.24,99.99,227.24,24.24,405,720
30,3.02,Value chain,"[""327""\, ""328""\, ""329""\, ""330""\, ""331""]",,,,102.42,36.75,327.17,128.31,290.43,25.89,405,720
30,03.02.01,Header - design,"[""327""]",,,,102.42,36.75,120.96,128.31,84.21,25.89,405,720
30,03.02.02,Header - manufacturing,"[""328""]",,,,102.42,139.85,224.07,128.31,84.21,25.89,405,720
30,03.02.03,Header - ATP,"[""329""]",,,,102.42,242.96,327.17,128.31,84.21,25.89,405,720
30,03.02.04,Arrow,"[""330""]",,,,115.37,120.96,139.86,115.37,18.9,0,405,720
30,03.02.05,Arrow,"[""331""]",,,,115.37,224.07,242.97,115.37,18.9,0,405,720
30,3.03,Fabless design firms,"[""332""\, ""343""\, ""344""\, ""345""\, ""346""\, ""347""]",,,,138,36,122.32,276.76,86.31,138.76,405,720
30,03.03.01,Frame,"[""332""]",,,,138,36,122.32,276.76,86.31,138.76,405,720
30,03.03.02,AMD logo,"[""345""]",,,,175.82,51.61,106.73,189,55.12,13.18,405,720
30,03.03.03,Nvidia logo,"[""343""]",,,,196.95,48.32,110.03,208.48,61.71,11.53,405,720
30,03.03.04,Qualcomm logo,"[""344""]",,,,216.43,47.96,110.38,227.85,62.42,11.41,405,720
30,03.03.05,Broadcom logo,"[""346""]",,,,235.8,43.5,114.84,245.55,71.34,9.75,405,720
30,03.03.06,Marvell logo,"[""347""]",,,,253.34,51.61,107.86,269.42,56.25,16.07,405,720
30,3.04,Foundries,"[""333""\, ""348""\, ""349""\, ""350""]",,,,138,139,225.32,276.76,86.31,138.76,405,720
30,03.04.01,Frame,"[""333""]",,,,138,139,225.32,276.76,86.31,138.76,405,720
30,03.04.02,TSMC logo,"[""348""]",,,,179.63,158.06,205.69,217.08,47.62,37.46,405,720
30,03.04.03,UMC logo,"[""349""]",,,,229.67,149.62,214.13,244.29,64.51,14.63,405,720
30,03.04.04,GlobalFoundries logo,"[""350""]",,,,258.38,149.25,214.5,271.09,65.25,12.72,405,720
30,3.05,OSAT firms,"[""334""\, ""359""\, ""360""\, ""361""]",,,,138,241.43,327.75,276.76,86.31,138.76,405,720
30,03.05.01,Frame,"[""334""]",,,,138,241.43,327.75,276.76,86.31,138.76,405,720
30,03.05.02,Amkor logo,"[""361""]",,,,187.31,251.22,314.97,216.19,63.75,28.88,405,720
30,03.05.03,Teradyne logo,"[""360""]",,,,229.5,252.34,316.84,244.5,64.5,15,405,720
30,03.05.04,Advantest logo,"[""359""]",,,,251.62,248.22,320.97,270.38,72.75,18.75,405,720
30,3.06,Integrated device manufacturers (IDMs),"[""335""\, ""341""\, ""342""]",,,,288,36,327.76,354.76,291.76,66.76,405,720
30,03.06.01,Frame,"[""335""]",,,,288,36,327.76,354.76,291.76,66.76,405,720
30,03.06.02,"Logos of TI, Samsung, Micron, Intel, Onsemi","[""341""]",,,,309,58.5,314.25,327,255.75,18,405,720
30,03.06.03,"Logos of Kioxia, NXP, Renesas, Analog Devices, Infineon","[""342""]",,,,328.5,61.5,308.25,350.25,246.75,21.75,405,720
30,4,Suppliers,"[""322""\, ""323""\, ""324""\, ""336""\, ""337""\, ""338""\, ""339""\, ""351""\, ""352""\, ""353""\, ""354""\, ""355""\, ""356""\, ""357""\, ""358""]",,,,75.75,359.25,684,356.26,324.75,280.51,405,720
