test_index,index,label,shape_id,section_type,start_char,end_char,cells,text,top,left,right,bottom,width,height,slide_height,slide_width
20,01,"Title","[""54""]",shape_group,,,"","P2P | Systems Needed for STL Go-Live (Model 1: Inbound & Outbound via 3PL).Titl",19.5,72.0,684.0,43.67,612.0,24.17,405.0,720.0
20,02,"Preliminary sticker","[""86""]",shape_group,,,"","Preliminary",19.5,628.12,696.0,36.06,67.88,16.56,405.0,720.0
20,03,"","[""51""]",individual_shape,,,"","",29.98,-29.99,91.69,91.7,121.68,61.72,405.0,720.0
20,04,"Flowchart","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01,"Table","[""76""]",shape_group,,,"","",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.01,"Header","[""76.0.0""\, ""76.0.1""\, ""76.0.2""\, ""76.0.3""\, ""76.0.4""\, ""76.0.5""]",row,,,"[""0.0""\, ""0.1""\, ""0.2""\, ""0.3""\, ""0.4""\, ""0.5""]"," External Endpoints SAP Other systems Manual / Excel TBD",66.18,66.0,684.0,93.29,618.0,27.11,405.0,720.0
20,04.01.02,"Credit application(Only needed for new vendors selling on credit)","[""76.1.0""\, ""76.1.1""\, ""76.1.2""\, ""76.1.3""\, ""76.1.4""\, ""76.1.5""\, ""127""\, ""128""\, ""130""\, ""131""\, ""66""\, ""68""]",row,,,"[""1.0""\, ""1.1""\, ""1.2""\, ""1.3""\, ""1.4""\, ""1.5""]","Credit application(Only needed for new vendors selling on credit)     ",93.29,66.0,684.0,148.8,618.0,55.51,405.0,720.0
20,04.01.02.01,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.02.02,"Process - external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.02.03,"Process - external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
